;;;THEO DÕI GIẢI NGÂN NĂM 2026;;;;;;;;;;;;;;;;;;;;;;
20;7853204;Tiểu dự án cải thiện cơ sở hạ tầng đô thị Hương Khê, huyện Hương Khê, tỉnh Hà Tĩnh. Thuộc dự án Cải thiện cơ sở hạ tầng đô thị nhằm giảm thiểu tác động của biến đổi khí hậu cho 04 tỉnh ven biển Bắc Trung Bộ.;46.100;0;46.100;7.566;0;7.566;38.534;16,41;-;1;0;;;;;;;;;;;;
21;8160730;Dự án xây dựng, cải tọa hạ tầng kỹ thuật và một số hạng mục Khu lưu niệm Tổng bí thư Trần Phú;12.000;0;12.000;419;0;419;11.581;3,49;-;1;0;;;;;;;;;;;;
22;8155076;Dự án Xây dựng, tôn tạo một số hạng mục tại khu mộ Tổng bí thư Trần Phú;34.000;0;34.000;10.083;0;10.083;23.917;29,66;-;1;0;;;;;;;;;;;;
23;7535585;Trung tâm y tế huyện Kỳ Anh;955;955;0;0;0;0;955;;;0;;;;;;;;;;;;;
24;7942218;Bệnh viện Y học cổ truyền Hà Tĩnh (Giai đoạn 2);148;148;0;0;0;0;148;;;;;;;;;;;;;;;;
25;7986300;Nâng cấp, mở rộng tuyến đường ĐH36 (Chợ Đình - Quán Trại), huyện Can Lộc;1.292;1.292;0;0;0;0;1.292;;;;;;;;;;;;;;;;
26;8091397;Nâng cấp, mở rộng đường giao thông liên xã Thạch Ngọc -Ngọc Sơn;264;264;0;0;0;0;264;;;;;;;;;;;;;;;;
;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
;;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;
;;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;
;;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;
;;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;
;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
