STT;Mã d? án;D? án;K? toán;Phòng DA;C?p Q? ??u t? tr??c khi bàn giao;C?T c?;Q? chuy?n C?T;Tình tr?ng hi?n t?i;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;T?ng;;;;;;;;;;;;;;;;;
146;8006463;"Quy ho?ch xây d?ng vùng huy?n H??ng Khê ??n n?m 2040; t?m nhìn ??n n?m 2050";Quân;3;#N/A;H??ng Khê;2977;5;;;;;;;;;;;
147;7996627;?? án Quy ho?ch chung xây d?ng ?ô th? H??ng Khê, huy?n H??ng Khê, t?nh Hà T?nh, giai ?o?n ??n n?m 2045;Quân;3;H;H??ng Khê;2977;5;;;;;;;;;;;
148;3034080;?? án phân lo?i ?ô th? th? tr?n H??ng Khê m? r?ng, huy?n H??ng Khê, t?nh Hà T?nh ??t tiêu chí ?ô th? lo?i V;Quân;3;H;H??ng Khê;2977;5;;;;;;;;;;;
149;ch?a m? mã;Ch??ng trình phát tri?n ?ô th? th? tr?n H??ng Khê, huy?n H??ng Khê, t?nh Hà T?nh ??n n?m 2030;Quân;3;H;H??ng Khê;2977;5;;;;;;;;;;;
150;7457939;H? th?ng ?i?n chi?u sáng khu v?c Trung tâm hành chính huy?n L?c Hà và c?m dân c? d?c ???ng T?nh l? 9 (giai ?o?n 2);Phú;3;T;Th?ch Hà;2140;5;;;;;;;;;;;
151;7642070;H? t?ng nuôi tr?ng th?y s?n xã Mai Ph? và H? ??, huy?n L?c Hà;Phú;3;T;Th?ch Hà;2140;5;;;;;;;;;;;
152;7398566;Kè bi?n ch?ng xâm th?c huy?n L?c Hà ?o?n t? K3+00 - K11+105 thu?c ??a bàn xã Th?ch B?ng và Th?nh L?c huy?n L?c Hà, t?nh Hà T?nh;Phú;3;T;Th?ch Hà;2140;5;;;;;;;;;;;
153;7145963;C?ng c?, nâng c?p ?ê T? nghèn huy?n L?c Hà ?o?n k16+300 - k26+00;Phú;3;T;Th?ch Hà;2140;5;;;;;;;;;;;
154;ch?a m? mã;???ng k?t n?i t? qu?c l? 8C vào khu th??ng m?i, d?ch v?, du l?ch và th? thao phía Tây Nam huy?n Th?ch Hà;Tâm;3;H;Th?ch Hà;2140;5;;;;;;;;;;;
155;8119946;???ng giao thông liên xã Mai Ph? - H? ?? (d? án thành ph?n 2);Phú;3;H;Th?ch Hà;2140;5;;;;;;;;;;;
156;8113066;Nâng c?p, s?a ch?a kênh t??i chính tr?m b?m ??u c?u xã H?ng L?c;Phú;3;H;Th?ch Hà;2140;6;;;;;;;;;;;
157;8113063;D? án Xây d?ng Nhà ?a n?ng và các h?ng m?c ph? tr? Tr??ng THCS Bình An Th?nh;Phú;3;H;Th?ch Hà;2140;6;;;;;;;;;;;
158;8128254;Nâng c?p tuy?n ???ng t? nhà ông Dung - Ch? Chi?u (t? thôn Tri Khê ??n thôn V?n ?ò) xã Th?ch S?n;??i;3;H;Th?ch Hà;2140;5;;;;;;;;;;;
159;8095526;Nhà h?c 02 t?ng 6 phòng Tr??ng m?m non Vi?t Xuyên, xã Vi?t Ti?n;Phú;3;H;Th?ch Hà;2140;5;;;;;;;;;;;
160;7758813;H? t?ng ??u giá ??t khu v?c trung tâm hành chính huy?n L?c Hà;Phú;3;H;Th?ch Hà;2140;6;;;;;;;;;;;
161;7897531;Xây d?ng ???ng n?i vùng khu trung tâm hành chính giai ?o?n 3;Phú;3;H;Th?ch Hà;2140;5;;;;;;;;;;;
162;7859084;X? lý s?t l? b? sông Ngàn Sâu ?o?n qua xã L?c Yên, huy?n H??ng Khê;Quân;3;T;H??ng Khê;2140;5;;;;;;;;;;;
163;7578674;X? lý ô nhi?m môi tr??ng do rác th?i sinh ho?t trên ??a bàn huy?n H??ng Khê t?i xã H??ng Thu?, huy?n H??ng Khê;Quân;3;H;H??ng Khê;2140;5;;;;;;;;;;;
164;8080491;Nâng c?p ???ng GTNT xã Phúc Tr?ch (Tuy?n ???ng tr?c xã TX01);??c;3;H;H??ng Khê;2140;5;;;;;;;;;;;
165;8018893;???ng GTNT k?t h?p phát tri?n kinh t? trang tr?i xã H??ng Long;??c;3;H;H??ng Khê;2140;5;;;;;;;;;;;
166;8018895;Nâng c?p ???ng giao thông n?i th?, th? tr?n H??ng Khê;Quân;3;H;H??ng Khê;2140;4;;;;;;;;;;;
167;8018894;???ng GTNT thôn 6, 7 xã H??ng Giang;Quân;3;H;H??ng Khê;2140;4;;;;;;;;;;;
168;8096032;Nhà h?c b? môn 02 t?ng tr??ng Ti?u h?c Gia Ph?;Quân;3;H;H??ng Khê;2140;4;;;;;;;;;;;
169;8108811;Kh?c ph?c, s?a ch?a công trình ??p Hà Thông, xã H??ng Xuân;??c;3;H;H??ng Khê;2140;5;;;;;;;;;;;
170;8096031;Kh?i nhà hành chính qu?n tr? k?t h?p kh?i ph? tr?, h? tr? h?c t?p tr??ng ti?u h?c H??ng Bình;??c;3;H;H??ng Khê;2140;5;;;;;;;;;;;
171;8096028;Kh?i phòng h?c t?p 03 t?ng Tr??ng Ti?u h?c Phúc ??ng;Quân;3;H;H??ng Khê;2140;4;;;;;;;;;;;
172;7999327;Nâng c?p ???ng huy?n l? 9 (?H.94), huy?n H??ng Khê;??c;3;H;H??ng Khê;2140;5;;;;;;;;;;;
173;7999326;???ng giao thông huy?n l? 11 (?H.96) ?o?n qua xã H??ng ?ô, Phúc Tr?ch, huy?n H??ng Khê;Quân;3;H;H??ng Khê;2140;4;;;;;;;;;;;
174;7947546;Nhà h?c 03 t?ng 12 phòng và c?i t?o 03 dãy nhà 2 t?ng 10 phòng Tr??ng THCS Chu V?n An;Quân;3;H;H??ng Khê;2140;4;;;;;;;;;;;
175;7947545;Nhà h?c b? môn 03 t?ng Tr??ng THCS Chu V?n An;Quân;3;H;H??ng Khê;2140;4;;;;;;;;;;;
176;7999330;Sân v?n ??ng huy?n t?i xã H??ng Long;Quân;3;H;H??ng Khê;2140;5;;;;;;;;;;;
177;7916328;Công viên cây xanh k?t h?p qu?ng tr??ng trung tâm huy?n H??ng Khê;Quân;3;H;H??ng Khê;2140;5;;;;;;;;;;;
178;8080485;Nâng c?p, c?i t?o nhà bi?u di?n và m?t s? h?ng m?c ph? tr? Trung tâm V?n hóa-Truy?n thông huy?n H??ng Khê;Quân;3;H;H??ng Khê;2140;5;;;;;;;;;;;
179;7921705;Nâng c?p, c?i t?o Ti?u h?c, M?m non H??ng Thu?;Quân;3;H;H??ng Khê;2140;5;;;;;;;;;;;
180;8095708;Nâng c?p, tu s?a c?u Tu b? 3, xã H??ng Lâm;Quân;3;H;H??ng Khê;2140;5;;;;;;;;;;;
181;7999328;???ng giao thông huy?n l? 3 (?H.88) ?o?n qua xã ?i?n M?, huy?n H??ng Khê;Quân;3;H;H??ng Khê;2140;5;;;;;;;;;;;
182;7913873;Tr?ng cây xanh h? t?ng k? thu?t trên tuy?n ???ng H? Chí Minh và tuy?n ???ng QL15 ?o?n qua huy?n H??ng Khê n?m 2021;Quân;3;H;H??ng Khê;2140;4;;;;;;;;;;;
183;8158921;?? án ?i?u ch?nh QHCT Xây d?ng công viên v?n hóa Lý T? Tr?ng, t? l? 1/500;Phú;3;H;Th?ch Hà;2977;5;;;;;;;;;;;
184;1100782;Quy ho?ch phân khu xây d?ng Khu v?c nút giao thông Qu?c l? 1 ?o?n tránh thành ph? Hà T?nh t?i xã Th?ch Long, huy?n Th?ch Hà, t? l? 1/2.000;Phú;3;H;Th?ch Hà;2977;5;;;;;;;;;;;
185;7899078;L?p Quy ho?ch s? d?ng ??t giai ?o?n 2021-2030 huy?n Th?ch Hà;Phú;3;H;Th?ch Hà;2977;5;;;;;;;;;;;
186;8047759;"Quy ho?ch phân khu xây d?ng khu du l?ch bi?n huy?n L?c Hà; t? l? 1/2000";Phú;3;H;Th?ch Hà;2977;5;;;;;;;;;;;
187;ch?a m? mã;C?ng c?, nâng c?p ?ê T? Nghèn ?o?n K26-K35+700 huy?n L?c Hà, t?nh Hà T?nh;Phú;3;T;Th?ch Hà;3026;5;;;;;;;;;;;
188;7799577;Nâng c?p m? r?ng tuy?n ???ng t? Th?ch Kênh ??n H?ng L?c;Phú;3;T;Th?ch Hà;2140;5;;;;;;;;;;;
189;ch?a m? mã;Nhà công v? t?i xã H??ng Tr?ch;Quân;3;H;H??ng Khê;3026;5;;;;;;;;;;;
190;7213959;C?p n??c s?ch H??ng Khê t?nh Hà T?nh;Quân;3;H;H??ng Khê;3455;5;;;;;;;;;;;
191;8120248;D? án Nhà ?a ch?c n?ng và các h?ng m?c ph? tr? Tr??ng THPT Nguy?n Th? Minh Khai, huy?n ??c Th?;Huân;1;T;??c Th?;2140;6;;;;;;;;;;;
192;8140327;Nhà ?a n?ng Tr??ng ti?u h?c Quang V?nh;Huân;1;H;??c Th?;2140;6;;;;;;;;;;;
193;7003116;???ng giao thông t? C?u Treo Ch? B?ng ??n Th? tr?n V? Quang, huy?n V? Quang;Thu?n;1;T;V? Quang;2140;6;;;;;;;;;;;
194;8154171;Xây d?ng nhà sinh ho?t c?ng ??ng k?t h?p tránh l? thôn 5 xã Ân Phú;Thu?n;1;H;V? Quang;2140;6;;;;;;;;;;;
195;8154170;H?ng m?c ph? tr? khu x? lý rác th?i c?a huy?n;Thu?n;1;H;V? Quang;2140;6;;;;;;;;;;;
196;8049087;Nâng c?p ???ng tránh l? ??c L?nh- Ân Giang- ??c Giang, huy?n V? quang;Thu?n;1;H;V? Quang;2140;6;;;;;;;;;;;
197;8117230;Nhà h?c b? môn 02 t?ng 8 phòng và các h?ng m?c ph? tr? tr??ng Ti?u h?c ??c L?nh;Thu?n;1;H;V? Quang;2140;6;;;;;;;;;;;
198;8121502;Xây d?ng c?u N?p H?p ??c Liên;Thu?n;1;H;V? Quang;2140;6;;;;;;;;;;;
199;XHH1;Nhà ?a ch?c n?ng 02 t?ng 6 phòng Tr??ng M?m non ??c B?ng, huy?n V? Quang;Thu?n;1;H;V? Quang;2140;6;;;;;;;;;;;
200;7729914;Chu?n b? d? án h? t?ng c? b?n cho phát tri?n toàn di?n t?nh Hà T?nh;H??ng Giang;1;T;Dân d?ng;DDCN;6;;;;;;;;;;;
201;8103928;T? v?n kh?o sát ??a hình, l?p ?i?u ch?nh quy ho?ch chung th? tr?n V? Quang, huy?n V? Quang ??n n?m 2040 và l?y ý ki?n c?ng ??ng;Thu?n;1;H;V? Quang;2977;6;;;;;;;;;;;
202;7938719;Nâng c?p tuy?n ???ng ?H.131 Th?ch Bình - C?m Th?ng;Nam;2;H;C?m Xuyên;2140;6;;;;;;;;;;;
203;7909582;???ng d?c b? kè Sông H?i, th? tr?n C?m Xuyên và các tuy?n nhánh;Nam;2;H;C?m Xuyên;2140;6;;;;;;;;;;;
204;7956306;???ng vành ?ai, th? tr?n C?m Xuyên (?o?n t? QL8C-QL1A);Nam;2;H;C?m Xuyên;2140;6;;;;;;;;;;;
205;8064110;Nhà h?c ch?c n?ng 02 t?ng Tr??ng M?m non C?m Quan;Nam;2;H;C?m Xuyên;2140;6;;;;;;;;;;;
206;8062395;Nhà h?c b? môn 03 t?ng 9 phòng Tr??ng THCS C?m D??ng;Nam;2;H;C?m Xuyên;2140;6;;;;;;;;;;;
207;7498862;???ng Xô Vi?t kéo dài th? tr?n Nghèn;H??ng;2;#N/A;Can L?c;2140;6;;;;;;;;;;;
208;8121078;Xây d?ng pano qu?ng cáo t?i ???ng Nguy?n Huy T? và c?i t?o h?i tr??ng l?n UBND huy?n Can L?c;H??ng;2;H;Can L?c;2140;6;;;;;;;;;;;
209;8074220;H? th?ng cây xanh tuy?n ???ng vào chùa H??ng, xã Thiên L?c, huy?n Can L?c (tr?ng b? sung).;H??ng;2;H;Can L?c;2140;6;;;;;;;;;;;
210;8120805;Ch?nh trang cây xanh khuôn viên UBND huy?n Can L?c.;H??ng;2;H;Can L?c;2140;6;;;;;;;;;;;
211;8000730;Xây d?ng nhà ch?c n?ng 3 t?ng và nhà ?a n?ng Tr??ng THCS Xuân Di?u, huy?n Can L?c;H??ng;2;H;Can L?c;2140;6;;;;;;;;;;;
212;7900747;???ng giao thông nông thôn xã m? L?c;H??ng;2;H;Can L?c;2140;6;;;;;;;;;;;
213;7371219;S?a ch?a, nâng c?p H? th?ng thu? l?i Bà Nái huy?n Can L?c;H??ng;2;T;Can L?c;2140;6;;;;;;;;;;;
214;8100176;Xây d?ng b? b?i và các h?ng m?c ph? tr? tr??ng THCS Phan Huy Chú;Phú;3;H;Th?ch Hà;2140;6;;;;;;;;;;;
215;7603835;H? t?ng ??u giá huy?n L?c Hà 2016;Phú;3;H;Th?ch Hà;2140;6;;;;;;;;;;;
216;8096034;Kh?i hành chính qu?n tr? k?t h?p ph? tr? h?c t?p Tr??ng THCS Chu V?n An;Quân;3;H;H??ng Khê;2140;6;;;;;;;;;;;
217;7799576;Trung tâm v?n hóa truy?n thông huy?n L?c Hà;Phú;3;T;Th?ch Hà;2140;6;;;;;;;;;;;
218;7331691;Trung tâm d?y ngh? - h??ng nghi?p và giáo d?c th??ng xuyên huy?n L?c Hà;Phú;3;T;Th?ch Hà;2140;6;;;;;;;;;;;
219;7191688;H? ch?a n??c Khe Giao thu?c H? th?ng th?y l?i Khe Giao, huy?n Th?ch Hà, t?nh Hà T?nh;Phú;3;T;Th?ch Hà;2140;6;;;;;;;;;;;
220;8113064;D? án Xây d?ng nhà h?c 3 t?ng 19 phòng và các h?ng m?c ph? tr? Tr??ng ti?u h?c Th?ch Kim;Phú;3;H;Th?ch Hà;2140;6;;;;;;;;;;;
221;8111569;D? án Xây d?ng kênh t??i, tiêu úng Khe Qu?, C?n Xóc xã Th?nh L?c, huy?n L?c Hà;Phú;3;H;Th?ch Hà;2140;6;;;;;;;;;;;
222;7892599;Xây d?ng h? th?ng thoát n??c th?i xã Th?ch Kim, huy?n L?c Hà;Phú;3;H;Th?ch Hà;2140;6;;;;;;;;;;;
223;8119945;D? án Nâng c?p m? r?ng ???ng giao thông liên xã Th?ch Châu - Th? tr?n L?c Hà, huy?n L?c Hà;Phú;3;H;Th?ch Hà;2140;6;;;;;;;;;;;
224;7908086;Xây d??ng hê? thô?ng kênh m??ng t???i, tiêu xa? I?ch Hâ?u;Phú;3;H;Th?ch Hà;2140;6;;;;;;;;;;;
225;7568910;Nhà máy n??c và H? th?ng c?p n??c s?ch cho Nhân dân th? tr?n H??ng Khê và 8 xã vùng ph? c?n thu?c huy?n H??ng Khê;Quân;3;T;H??ng Khê;2140;6;;;;;;;;;;;
226;7787922;Ba?o tô?n, nhân giô?ng va? pha?t triê?n b???i Phu?c Tra?ch, giai ?oa?n 2016-2020, huyê?n H??ng Khê;Quân;3;T;H??ng Khê;2140;6;;;;;;;;;;;
227;8078745;Kh?c ph?c s?t l? b? sông Ngàn Sâu ?o?n qua thôn 2 và thôn 5 xã Hà Linh;Quân;3;T;H??ng Khê;2140;6;;;;;;;;;;;
228;8078746;Kh?c ph?c s?a ch?a ??p T?t xã Hòa H?i;Quân;3;T;H??ng Khê;2140;5;;;;;;;;;;;
229;7741572;Kè ch?ng s?t l? b? sông Ngàn Sâu, ?o?n qua xã Gia Ph?, huy?n H??ng Khê;Quân;3;T;H??ng Khê;2140;6;;;;;;;;;;;
230;7875138;X? lý s?t l? b? sông Ngàn Sâu, ?o?n qua các xã: H??ng Tr?ch, H??ng ?ô, huyê?n H??ng Khê;Quân;3;T;H??ng Khê;2140;6;;;;;;;;;;;
231;XHH2;Nhà ?a n?ng Tr??ng THPT Phúc Tr?ch, huy?n H??ng Khê;Quân;3;H;H??ng Khê;2140;6;;;;;;;;;;;
232;8018896;???ng GTNT thôn 3, 4, 7 và c?u ??ng B?t thôn 5 xã H??ng Lâm;Quân;3;H;H??ng Khê;2140;6;;;;;;;;;;;
233;8159272;Kh?i nhà hành chính qu?n tr? k?t h?p phòng h?c b? môn 3 t?ng tr??ng Ti?u h?c L?c Yên;Quân;3;H;H??ng Khê;2140;6;;;;;;;;;;;
234;7999322;Nâng c?p, c?i t?o TH H??ng Lâm;Quân;3;H;H??ng Khê;2140;6;;;;;;;;;;;
235;8026957;Kè ch?ng s?t l? b? sông Tiêm ?o?n qua xã H??ng Xuân;Quân;3;H;H??ng Khê;2140;7;;;;;;;;;;;
236;8002570;Nhà làm vi?c 02 t?ng và các h?ng m?c ph? tr? UBND xã H??ng Lâm;Quân;3;H;H??ng Khê;2140;6;;;;;;;;;;;
237;7902752;Nhà hành chính qu?n tr? 2 t?ng tr??ng Ti?u h?c Hà Linh;Quân;3;H;H??ng Khê;2140;6;;;;;;;;;;;
238;7990459;Nâng c?p, c?i t?o THCS Ph??ng ?i?n;Quân;3;H;H??ng Khê;2140;6;;;;;;;;;;;
239;7914473;???ng GTNT xóm 4, 5 xã H??ng Th?y;Quân;3;H;H??ng Khê;2140;6;;;;;;;;;;;
240;7903685;S?a ch?a, nâng c?p ???ng GTNT thôn V?nh ??i, xã Quang V?nh;Huân;1;T;??c Th?;2140;7;;;;;;;;;;;
241;7941296;D? án ???ng n?i Qu?c l? 8A - C?m công nghi?p Thái Yên - Qu?c l? 15A, huy?n ??c Th?;Huân;1;T;??c Th?;2140;7;;;;;;;;;;;
242;7953262;D? án ???ng huy?n l? ?H56 ?o?n qua xã Hòa L?c, huy?n ??c Th?;Huân;1;T;??c Th?;2140;7;;;;;;;;;;;
243;7995822;D? án Nâng c?p h? th?ng m??ng th?y l?i ??p Am, xã ??c ??ng, huy?n ??c Th?;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
244;8035279;D? án Nâng c?p ???ng giao thông thôn Châu Diên, xã Tùng Châu;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
245;7845551;D? án ???ng Tr?c xã 04 (TX04) ?o?n qua xã ??c An, huy?n ??c Th?;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
246;7845548;D? án ???ng Tr?c xã 03 (TX03) ?o?n qua xã ??c Long;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
247;7894922;D? án ???ng giao thông nông thôn thôn ??i Ngh?a - thôn Hùng D?ng, xã ??c Yên;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
248;7954641;D? án Nâng c?p ???ng vào và khuôn viên tr??c c?ng Ngh?a trang li?t s? huy?n ??c Th?;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
249;8161151;D? án Nhà v?n hóa c?ng ??ng k?t h?p tránh, trú bão, l?t thôn Th? Hòa, xã Hòa L?c, huy?n ??c Th?;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
250;7719105;D? án Nâng c?p tuy?n ???ng liên xã Tùng ?nh - Th? tr?n (HL09);Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
251;7746751;D? án ???ng giao thông xã ??c Th?y - Thái Yên;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
252;7683783;D? án ???ng liên xa? ???c An - Tân H??ng, huyê?n ???c Tho?;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
253;7756283;D? án ???ng và kênh tiêu úng xã ??c Lâm;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
254;7744993;D? án ???ng giao thông xã ??c Yên;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
255;7744995;D? án ???ng liên xã ??c ??ng - ??c L?c;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
256;7754505;D? án ???ng giao thông xã ??c D?ng;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
257;7763715;D? án ???ng giao thông xã ??c Lâm n?i ???ng ?i trung tâm xã ??c L?p và Qu?c l? 8A;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
258;7746750;D? án ???ng giao thông liên xã ??c La - ??c Quang;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
259;7745315;D? án ???ng giao thông thôn Th?nh C??ng ?i trung tâm xã ??c Long;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
260;7693083;D? án C?u Nhà V?o và ???ng ngang k?t n?i c?u, kè ch?ng s?t l? th??ng h? l?u kênh T14 xã ??c An;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
261;7636876;D? án ???ng giao thông xã ??c Nhân;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
262;7753435;D? án C?i t?o, s?a ch?a Khu liên h?p th? thao Trung tâm v?n hóa huy?n ??c Th?;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
263;7687588;D? án Tr? s? làm vi?c xã ??c D?ng;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
264;7769276;D? án Tr??ng ti?u h?c ??c Thanh - H?ng m?c: Nhà hi?u b? 2 t?ng và nhà ?a ch?c n?ng;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
265;7681373;D? án ???ng giao thông nông thôn xã ??c Châu;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
266;7454867;D? án ????ng giao thông nông thôn xa? ???c Quang;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
267;7549922;D? án ???ng giao thông n?i th? th? tr?n ??c Th?;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
268;7691341;D? án Kênh m??ng tiêu úng xã ??c Long;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
269;7596419;D? án S?a ch?a, nâng c?p ??p ?á Tr?ng xã Tân H??ng, huy?n ??c Th?, t?nh Hà T?nh;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
270;7690169;D? án ????ng giao thông liên thôn xa? ???c Thanh;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
271;8161152;D? án Kênh tiêu úng xã ??c Nhân;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
272;7570530;D? án ???ng giao thông nông thôn xã ??c Lâm, huy?n ??c Th?;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
273;7719106;D? án ???ng tr?c chính xã Tân H??ng ?o?n qua thôn Tân Nhân;Huân;1;H;??c Th?;2140;7;;;;;;;;;;;
274;8094303; Kh?c ph?c s?t l? ???ng liên xã LX04 t? c?u H??ng ??i TDP3, th? tr?n V? Quang – Giao ???ng ?H.81 t?i thôn 1 xã Quang Th?;Thu?n;1;T;V? Quang;2140;7;;;;;;;;;;;
275;7472673;C?u Tr?y xã ??c L?nh;Thu?n;1;T;V? Quang;2140;7;;;;;;;;;;;
276;7299796; ???ng và m??ng thoát n??c phía Tây th? tr?n V? Quang;Thu?n;1;T;V? Quang;2140;7;;;;;;;;;;;
277;8154496;Nâng c?p ???ng GTNT ?o?n t? C?u Gãy ??n trung tâm xã Th? ?i?n;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
278;7569553;Nhà v?n hóa xóm 3 B?ng Giang xã ??c Giang, huy?n V? Quang, t?nh Hà T?nh;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
279;7581438;Nhà h?p ch?p hành tr?c tuy?n, huy?n V? Quang, t?nh Hà T?nh;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
280;7574135;???ng 135 t? t?nh l? 552 ??n ???ng IfaX (?o?n qua thôn 5 xã ??c B?ng);Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
281;7573536;???ng tr?c thôn xóm 1 xóm 3 B?ng Giang xã ??c Giang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
282;7581503;???ng vào khu s?n xu?t ch?n nuôi t?p trung khe Nác N?y xã S?n Th?, huy?n V? Quang (?o?n t? Km2+780,66 ??n Km3+399,11), t?nh Hà T?nh;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
283;7690166;Nhà v?n hóa t? dân ph? 6 th? tr?n V? Quang, huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
284;7644739;S?a ch?a Tr? s? khôi dân huy?n V? Quang thu?c d? án kh?c ph?c thi?t h?i do m?a l? n?m 2016 trên ??a bàn huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
285;7632187;Duy tu, s?a ch?a TTVH th? thao huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
286;7713556;C?i t?o, s?a ch?a tr??ng THCS Phan ?ình Phùng, huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
287;7635508;Nhà ?a ch?c n?ng Tr??ng ti?u h?c xã ??c B?ng, huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
288;7656673;C?i t?o, s?a ch?a tr??ng ti?u h?c th? tr?n V? Quang, huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
289;7689103;???ng GTNT H??ng Th? - H??ng ??i xã ??c H??ng huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
290;7693205;S?a ch?a TTUD KHKT&BVCTVN huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
291;7735056;???ng GT liên thôn 4 ?i thôn 8, xã ??c B?ng huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
292;7897319;???ng giao thông liên thôn ??n Th??ng ?i Bình Quang, xã ??c Liên huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
293;8161041;Nhà v?n hóa c?ng ??ng k?t h?p tránh bão, l? thôn 3, xã Ân Phú, huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
294;8161042;Nhà v?n hoá c?ng ??ng k?t h?p tránh bão, l?, thôn 4, xã ??c B?ng, huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
295;7587959;Nhà h?c b? môn 02 t?ng 06 phòng tr??ng THCS Liên H??ng;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
296;7839654;???ng GTNT thôn V?n Giang, thôn B?ng Giang, xã ??c Giang, huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
297;7963997;S?a ch?a nâng c?p ??p Khe Xai xã H??ng Minh, huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
298;8049085;Xây d?ng kênh m??ng n?i ??ng xã ??c Giang (tuy?n ??p H?p Tr? - Chân Giác thôn 2 V?n Giang);Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
299;8073108;???ng GTNT NX25 thôn 4 TL552 ??n Bà Nga, xã ??c B?ng;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
300;7903373;H?i tr??ng xã Th? ?i?n, huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
301;7639966;???ng t? c?u H??ng ??i ?i b?n thuy?n, th? tr?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
302;8031816;Nâng c?p, c?i t?o v?a hè nút giao ngã 3 xã ??c B?ng Km64+500/QL.281 (giao gi?a QL.281 v?i ?T.552) huy?n V? Quang, t?nh Hà T?nh;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
303;7907143;Nhà ?a ch?c n?ng Tr??ng TH&THCS Quang Th?;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
304;7961149;???ng GTNT thôn Cao Phong, xã ??c L?nh huy?n V? Quang (Tuy?n Ch? Su- Tuy?n Ch? Ch??ng);Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
305;7653980; H? th?ng ?i?n chi?u sáng và ?i?n trang trí trung tâm th? tr?n V? Quang, huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
306;7651695;???ng liên thôn Liên Hòa Liên Châu xã ??c Liên huy?n V? Quang;Thu?n;1;H;V? Quang;2140;7;;;;;;;;;;;
