STT;Mã d? án;D? án;K? toán;Phòng DA;C?p Q? ??u t? tr??c khi bàn giao;C?T c?;Q? chuy?n C?T;Tình tr?ng hi?n t?i;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;T?ng;;;;;;;;;;;;;;;;;
35;8106611;D? án C?u Bãi Th?n n?i huy?n ??c Th? và th? xã H?ng L?nh;Huân;1;H;??c Th?;2140;3;;;;;;;;;;;
36;8155800;"Tr??ng ti?u h?c Ân Phú; H?ng m?c: xây d?ng m?i nhà ?a ch?c n?ng 2 t?ng, s?a ch?a nhà h?c 2 t?ng và các h?ng m?c ph? tr? khác";Thu?n;1;H;V? Quang;2140;3;;;;;;;;;;;
37;7767755;D? án Tr?ng m?i, ph?c h?i và b?o v? r?ng ng?p m?n ven bi?n ?ng phó v?i bi?n ??i khí h?u t?i các huy?n: Nghi Xuân, C?m Xuyên và th? xã K? Anh;H??ng Giang;1;T;Dân d?ng;DDCN;3;;;;;;;;;;;
38;7872498;C?i t?o, nâng c?p H? sinh thái Khu di tích ??ng L?c (Giai ?o?n 2);H??ng Giang;1;T;Dân d?ng;DDCN;3;;;;;;;;;;;
39;7946312;Nâng c?p, c?i t?o B?nh vi?n ?a khoa huy?n C?m Xuyên;H??ng Giang;1;T;Dân d?ng;DDCN;3;;;;;;;;;;;
40;7993024;D? án ??u t? xây d?ng nâng c?p, c?i t?o và mua s?m trang thi?t b? cho 04 B?nh vi?n ?a khoa, Trung tâm y t? huy?n huy?n, t?nh Hà T?nh;H??ng Giang;1;T;Dân d?ng;DDCN;5;;;;;;;;;;;
41;8028364;Ch??ng trình ??u t? phát tri?n m?ng l??i y t? c? s? vùng khó kh?n, t?nh Hà T?nh;H??ng Giang;1;T;Dân d?ng;DDCN;3;;;;;;;;;;;
42;8155076;D? án xây d?ng, tôn t?o m?t s? h?ng m?c t?i Khu m? T?ng Bí Th? Tr?n Phú;Bình;1;T;Dân d?ng;DDCN;3;;;;;;;;;;;
43;8160730;D? án xây d?ng, c?i t?o h? t?ng k? thu?t và m?t s? h?ng m?c t?i Khu l?u ni?m T?ng Bí Th? Tr?n Phú;Bình;1;T;Dân d?ng;DDCN;3;;;;;;;;;;;
44;8155078;D? án xây d?ng, tôn t?o m?t s? h?ng m?c t?i Khu m? T?ng Bí Th? Hà Huy T?p;Bình;1;T;Dân d?ng;DDCN;3;;;;;;;;;;;
45;8160731;D? án xây d?ng, c?i t?o h? t?ng k? thu?t và m?t s? h?ng m?c t?i Khu l?u ni?m T?ng Bí Th? Hà Huy T?p;Bình;1;T;Dân d?ng;DDCN;3;;;;;;;;;;;
